County,Sub-county,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,August 2023,September 2023
Uasin Gishu County,Ainabkoi Sub County,116.9413604736328,96.87794494628906,78.10726165771484,65.49275207519531,90.64842224121094,108.45057678222656,140.61402893066406,134.65921020507812,146.1304931640625,127.30964660644533,121.03733825683594,116.73243713378906,119.98723602294922,124.08531951904295,112.3879165649414,94.03311157226562,124.11314392089844,118.11820220947266,124.86215209960938,129.66665649414062,145.76168823242188,131.10670471191406,146.4963836669922,128.6799774169922,114.04444885253906,94.30365753173828,79.10650634765625,77.80399322509766,104.78787994384766,120.74138641357422,101.65377044677734,131.94766235351562,138.33840942382812,146.49403381347656,133.79466247558594,97.78128814697266,92.78225708007812,91.87308502197266,86.23223114013672,67.36590576171875,108.95832061767578,121.26936340332033,123.48785400390624,125.15485382080078,146.25234985351562,146.73829650878906,104.3059539794922,95.57613372802734,108.57210540771484,86.7657699584961,74.99935913085938,99.48461151123048,137.69815063476562,128.5420684814453,136.0093231201172,150.7307891845703,144.41543579101562
Kericho County,Ainamoi Sub County,141.33103942871094,122.82951354980467,115.66320037841795,102.40211486816406,131.96446228027344,123.1814422607422,138.81051635742188,133.37124633789062,139.1675262451172,123.31763458251952,129.98402404785156,120.41194915771484,131.58372497558594,142.06484985351562,134.09925842285156,111.76898956298828,142.12901306152344,131.0924072265625,135.90525817871094,135.27102661132812,144.58273315429688,140.88272094726562,151.41297912597656,143.08726501464844,143.37359619140625,127.77001953125,130.87945556640625,133.8837432861328,133.39059448242188,145.13681030273438,131.29690551757812,123.57635498046876,116.95886993408205,130.30145263671875,130.93243408203125,120.88096618652344,120.5377426147461,130.0279083251953,142.29452514648438,127.80260467529295,131.86178588867188,131.00315856933594,132.4935760498047,128.67446899414062,143.38299560546875,145.05165100097656,130.6083526611328,126.47632598876952,146.52139282226562,119.23785400390624,104.4893569946289,113.18399047851562,152.00213623046875,133.06800842285156,138.80520629882812,142.1296844482422,133.451904296875
Nandi County,Aldai Sub County,149.0247802734375,128.30760192871094,120.0531997680664,120.00446319580078,142.341064453125,130.11705017089844,140.26393127441406,134.1775665283203,140.67372131347656,131.02993774414062,141.1457061767578,127.32156372070312,136.68182373046875,142.01260375976562,141.5259246826172,123.24871063232422,141.24111938476562,127.31129455566406,135.21287536621094,134.67547607421875,149.1876220703125,146.32940673828125,161.76390075683594,149.6114959716797,148.63348388671875,134.9671630859375,131.5476837158203,135.59219360351562,134.9613037109375,144.5832061767578,136.0322265625,136.24209594726562,125.3626480102539,144.2344970703125,148.8606719970703,133.5418243408203,131.07901000976562,140.13467407226562,146.07411193847656,136.94049072265625,132.84666442871094,137.02732849121094,137.01475524902344,135.73483276367188,148.8448028564453,162.54563903808594,140.35385131835938,136.0000762939453,153.4037628173828,124.97496795654295,106.3160629272461,131.12181091308594,157.0497589111328,147.85195922851562,142.0060272216797,138.2591094970703,141.86007690429688
Siaya County,Alego Usonga Sub County,94.51900482177734,73.07655334472656,77.97087860107422,77.46390533447266,101.29774475097656,106.98640441894533,101.20563507080078,96.4422378540039,104.15916442871094,102.2054443359375,106.04904174804688,103.75012969970705,108.68122863769533,107.19544982910156,106.64199829101562,98.0081787109375,105.7024383544922,106.71134185791016,98.25051879882812,90.72441864013672,104.61283111572266,104.62830352783205,123.57405853271484,111.5584716796875,109.07508850097656,91.0738525390625,89.52851867675781,92.73465728759766,112.45428466796876,111.0740966796875,92.23484802246094,88.98883819580078,95.3955535888672,116.69165802001952,109.62532043457033,95.41110229492188,88.2776107788086,90.89786529541016,92.3630828857422,85.14533996582031,101.60188293457033,108.3315658569336,101.59072875976562,94.78862762451172,107.1615753173828,110.64885711669922,97.6367416381836,100.9994888305664,104.98753356933594,72.37568664550781,64.32169342041016,100.6681671142578,128.91212463378906,117.07403564453124,107.35602569580078,95.2751007080078,96.51844024658205
Migori County,Awendo Sub County,121.63253021240234,100.00333404541016,102.98046112060548,102.06958770751952,126.8122329711914,120.77981567382812,123.66634368896484,110.92074584960938,113.9638671875,101.79835510253906,107.2419662475586,98.09534454345705,115.27593231201172,116.74343872070312,111.5235824584961,101.51710510253906,119.41109466552734,125.86933135986328,116.95561981201172,102.15113067626952,113.33625030517578,108.63706970214844,120.20962524414062,114.45557403564452,110.41704559326172,110.85489654541016,111.97657775878906,110.2487335205078,117.78033447265624,122.96224212646484,113.1758041381836,99.52937316894533,101.9711685180664,115.30939483642578,110.86126708984376,103.02095794677734,103.01546478271484,102.38200378417967,115.07188415527344,108.29521942138672,109.30437469482422,118.35427856445312,117.25724029541016,99.94461059570312,106.79605102539062,110.6935043334961,105.23645782470705,104.8648681640625,119.17424011230467,95.2405242919922,88.93144989013672,108.78199005126952,130.75209045410156,121.9684066772461,113.83688354492188,97.00789642333984,95.05098724365234
Garissa County,Balambala Sub County,16.272705078125,13.28974437713623,11.752324104309082,14.596619606018066,23.41604423522949,19.90753173828125,17.56903076171875,16.721460342407227,17.571319580078125,20.476640701293945,36.39399719238281,49.325927734375,34.94307327270508,28.209495544433597,21.29153060913086,35.213565826416016,45.62347412109375,28.811906814575195,24.141590118408203,21.64856338500977,19.640050888061523,19.87799835205078,34.401981353759766,27.996387481689453,23.38469886779785,15.71551513671875,13.954513549804688,20.47522354125977,22.876033782958984,20.315673828125,17.304641723632812,17.220380783081055,17.054584503173828,15.466694831848145,17.18739128112793,24.643909454345703,25.54910087585449,18.47385597229004,14.608935356140137,18.112733840942383,30.29446029663086,21.031885147094727,19.197490692138672,18.33083724975586,17.052961349487305,17.269433975219727,28.74159049987793,31.17425537109375,19.36630249023437,13.828062057495115,13.938814163208008,22.224048614501957,25.99224090576172,20.3759880065918,17.796512603759766,16.98473358154297,15.950114250183104
Mandera County,Banissa Sub County,30.679658889770508,25.121925354003903,27.761531829833984,45.21959686279297,69.60226440429688,63.668983459472656,43.89295196533203,35.64244079589844,38.032745361328125,73.69509887695312,117.97595977783205,112.8614273071289,64.34866333007812,39.42832565307617,38.26939392089844,79.36583709716797,121.16336059570312,85.57077026367188,63.729095458984375,50.3654899597168,47.28643035888672,72.98868560791016,96.02694702148438,52.87758255004883,33.96257019042969,25.351787567138672,30.79936408996582,65.27838897705078,102.14000701904295,68.26514434814453,43.94341659545898,37.79839706420898,37.50345230102539,43.16562271118164,57.66681289672852,54.236854553222656,32.49125671386719,21.866756439208984,24.82308006286621,48.22516632080078,91.36572265625,63.37524032592773,45.03205871582031,36.93407440185547,34.50168228149414,53.13603210449219,86.67792510986328,52.15427780151367,34.242286682128906,24.29970932006836,46.68509292602539,99.12079620361328,104.67537689208984,74.14856719970703,46.66830062866211,39.59226608276367,38.5940055847168
Baringo County,Baringo Central Sub County,116.15170288085938,101.1915512084961,83.30126953125,73.7638931274414,88.4372329711914,101.20217895507812,130.20556640625,129.47149658203125,141.75912475585938,126.0665283203125,122.98431396484376,114.24800872802734,119.13690185546876,128.89671325683594,126.69630432128906,112.3579559326172,141.35662841796875,125.09471130371094,120.66329193115234,130.6408233642578,148.99497985839844,134.31793212890625,147.864013671875,135.9182891845703,121.22962188720705,100.99400329589844,89.88973236083984,93.58200073242188,116.11537170410156,127.96258544921876,109.0700454711914,129.00332641601562,133.3749237060547,137.6415252685547,132.5922088623047,101.54078674316406,101.2645492553711,93.6779327392578,87.96178436279297,77.1562271118164,115.80683135986328,117.59510040283205,110.8753433227539,118.23889923095705,143.5126495361328,146.85272216796875,114.13926696777344,107.06707000732422,121.3188018798828,90.92414855957033,85.48265075683594,113.95343780517578,146.08241271972656,125.8589096069336,123.690185546875,133.62286376953125,130.14210510253906
Baringo County,Baringo North Sub County,76.82459259033203,62.55539321899414,52.10111618041992,51.73663330078125,66.1710205078125,89.41600799560547,114.97792053222656,113.74502563476562,113.07605743408205,95.66719818115234,94.693359375,99.1865234375,95.05935668945312,102.40824127197266,95.30403900146484,95.7154769897461,127.02506256103516,114.3879165649414,106.52513885498048,115.7278823852539,129.22154235839844,109.21883392333984,126.16893768310548,104.6706771850586,84.62042999267578,68.22196197509766,60.026275634765625,68.48314666748047,106.57292175292967,106.30061340332033,90.41475677490234,106.71818542480467,107.43351745605467,105.10232543945312,88.11073303222656,65.31574249267578,65.66600799560547,64.23296356201172,59.37769317626953,57.11699295043945,93.65332794189452,91.98544311523438,85.60030364990234,100.24980926513672,122.15966796875,108.9638214111328,80.97991943359375,72.56285095214844,81.96578216552734,59.10014343261719,62.4904899597168,94.65245819091795,124.36690521240234,104.36206817626952,96.06341552734376,99.36853790283205,97.58804321289062
Kericho County,Belgut Sub County,177.01510620117188,166.07981872558594,165.1815643310547,146.4920196533203,149.36697387695312,127.04476165771484,146.7295684814453,145.83749389648438,157.38624572753906,145.60772705078125,145.91490173339844,137.85057067871094,151.82350158691406,169.3347625732422,159.3412322998047,132.2654266357422,152.35385131835938,140.51144409179688,148.13760375976562,148.39561462402344,165.00372314453125,154.78221130371094,166.15322875976562,164.74835205078125,176.22315979003906,171.0148468017578,169.66403198242188,152.27761840820312,147.20216369628906,159.88790893554688,149.3710174560547,148.94142150878906,147.54107666015625,158.81814575195312,152.32383728027344,143.75125122070312,157.1230010986328,169.9536895751953,188.81375122070312,165.15086364746094,150.92884826660156,148.79412841796875,155.7313232421875,152.73721313476562,169.1006317138672,184.1130523681641,156.52474975585938,155.12741088867188,186.3201904296875,171.64669799804688,143.08901977539062,141.22108459472656,170.22610473632812,147.94140625,153.12005615234375,165.26475524902344,160.3956298828125
